time_s,neural_action,confidence,management_action,pmu_weights
1.259,ACCEPT,0.9999893196789916,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.279,ACCEPT,0.9999995917174817,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.299,ACCEPT,0.9999749975906799,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.319,ACCEPT,0.9975720167526303,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.339,ACCEPT,0.9999996970602957,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.359,ACCEPT,0.9999998785710512,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.379,ACCEPT,0.9999946216727139,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.399,ACCEPT,0.9999995684181306,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.419,ACCEPT,0.999994254979505,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.439,ACCEPT,0.9999964410955253,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.459,ACCEPT,0.999999305052282,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.479,ACCEPT,0.9999988587161941,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.499,ACCEPT,0.9991566071614904,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.519,ACCEPT,0.9999997955800048,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.539,ACCEPT,0.9999675088484862,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.559,ACCEPT,0.9999831683702212,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.579,ACCEPT,0.9999963067396826,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.599,ACCEPT,0.9999250396520935,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.619,ACCEPT,0.9999801859901983,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.639,ACCEPT,0.9999996240176258,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.659,ACCEPT,0.9999132671193489,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.679,ACCEPT,0.999978957797657,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.699,ACCEPT,0.9997803536037079,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.719,ACCEPT,0.9994015928544565,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.739,ACCEPT,0.999983065443815,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.759,ACCEPT,0.9999818920165635,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.779,ACCEPT,0.999830276086904,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.799,ACCEPT,0.9999888505861589,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.819,ACCEPT,0.9999761292378158,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.839,ACCEPT,0.9999896720082356,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.859,ACCEPT,0.9997916319512974,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.879,ACCEPT,0.9999766223668815,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.899,ACCEPT,0.9999970037042204,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.919,ACCEPT,0.9999043247796645,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.939,ACCEPT,0.9984663587423581,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.959,ACCEPT,0.9797349295340423,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.979,ACCEPT,0.9999992696105445,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
1.999,ACCEPT,0.9999960021755757,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.019,ACCEPT,1.0,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.039,ACCEPT,0.9999999999774951,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.059,ACCEPT,0.9999999999800948,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.079,ACCEPT,0.9999999999652085,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.099,ACCEPT,0.9999999997665674,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.119,ACCEPT,0.9999999999836853,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
2.139,ACCEPT,0.9999999999244311,ACCEPT ALL PMUs,"[1.0, 1.0, 1.0]"
