time_s,neural_action,confidence,management_action,pmu_weights
1.199,DOWNWEIGHT_PMU2,0.9999999990931399,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.219,DOWNWEIGHT_PMU2,0.9999999991983786,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.239,DOWNWEIGHT_PMU2,0.999999999888783,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.259,DOWNWEIGHT_PMU2,0.9999999992223283,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.279,DOWNWEIGHT_PMU2,0.999999997550701,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.299,DOWNWEIGHT_PMU2,0.9999999999743017,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.319,DOWNWEIGHT_PMU2,0.9999999999973288,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.339,DOWNWEIGHT_PMU2,0.9999999999989231,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.359,DOWNWEIGHT_PMU2,0.9999999999960747,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.379,DOWNWEIGHT_PMU2,0.9999999999984996,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.399,DOWNWEIGHT_PMU2,0.9999999999998401,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.419,DOWNWEIGHT_PMU2,0.9999999999999332,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.439,DOWNWEIGHT_PMU2,0.9999999999999607,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.459,DOWNWEIGHT_PMU2,0.9999999999999711,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.479,DOWNWEIGHT_PMU2,0.9999999999999931,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.499,DOWNWEIGHT_PMU2,0.9999999999999982,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.519,DOWNWEIGHT_PMU2,0.9999999999999993,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.539,DOWNWEIGHT_PMU2,0.9999999999999991,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.559,DOWNWEIGHT_PMU2,0.9999999999999991,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.579,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.599,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.619,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.639,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.659,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.679,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.699,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.719,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.739,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.759,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.779,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.799,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.819,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.839,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.859,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.879,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.899,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.919,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.939,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.959,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.979,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
1.999,DOWNWEIGHT_PMU2,1.0,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.019,DOWNWEIGHT_PMU2,0.9999999996568645,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.039,DOWNWEIGHT_PMU2,0.999999999999678,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.059,DOWNWEIGHT_PMU2,0.9999999999997813,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.079,DOWNWEIGHT_PMU2,0.9999999999999669,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.099,DOWNWEIGHT_PMU2,0.9999999999999687,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.119,DOWNWEIGHT_PMU2,0.9999999999999962,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.139,DOWNWEIGHT_PMU2,0.9999999999999851,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.1590000000000003,DOWNWEIGHT_PMU2,0.9999999999999993,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.179,DOWNWEIGHT_PMU2,0.9999999999999996,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
2.199,DOWNWEIGHT_PMU2,0.9999999999999998,DOWN-WEIGHT PMU2,"[1.0, 0.1, 1.0]"
