Time (s),Voltage 1 (V),Current 1 (A),Voltage 2 (V),Current 2 (A),Voltage 3 (V),Current 3 (A),Peak (A),Signal Angle (deg),Delta t (s),PMU1 Voltage DFT Real,PMU1 Voltage DFT Imag,PMU1 Voltage Magnitude,PMU1 Voltage Phase,PMU1 Voltage DFT RMS,PMU1 Current DFT Real,PMU1 Current DFT Imag,PMU1 Current Magnitude,PMU1 Current Phase,PMU1 Current DFT RMS,PMU1 Sync Offset,PMU1 Sync Fault,PMU1 Sync Fault Active,PMU1 Mag Noise,PMU1 Phase Noise,PMU1 Clock Drift,PMU1 Clock Drift Fault,PMU1 Packet Loss,PMU1 Bad Data,PMU2 Voltage DFT Real,PMU2 Voltage DFT Imag,PMU2 Voltage Magnitude,PMU2 Voltage Phase,PMU2 Voltage DFT RMS,PMU2 Current DFT Real,PMU2 Current DFT Imag,PMU2 Current Magnitude,PMU2 Current Phase,PMU2 Current DFT RMS,PMU2 Sync Offset,PMU2 Sync Fault,PMU2 Sync Fault Active,PMU2 Mag Noise,PMU2 Phase Noise,PMU2 Clock Drift,PMU2 Clock Drift Fault,PMU2 Packet Loss,PMU2 Bad Data,PMU3 Voltage DFT Real,PMU3 Voltage DFT Imag,PMU3 Voltage Magnitude,PMU3 Voltage Phase,PMU3 Voltage DFT RMS,PMU3 Current DFT Real,PMU3 Current DFT Imag,PMU3 Current Magnitude,PMU3 Current Phase,PMU3 Current DFT RMS,PMU3 Sync Offset,PMU3 Sync Fault,PMU3 Sync Fault Active,PMU3 Mag Noise,PMU3 Phase Noise,PMU3 Clock Drift,PMU3 Clock Drift Fault,PMU3 Packet Loss,PMU3 Bad Data
1.461,100.95976591417251,4.6061875993685675,89.61842636697683,1.7355973773963873,78.4601594397983,-6.341784976764906,10,18.0,0.001,1920.3803075084284,-2643.174136139529,1.0052646629156377,-53.936419741241146,231.02196907895046,63.64679723318488,-46.83980770253028,0.7899166544003542,-36.18377172985448,5.587880807449352,0.0,0.0,False,-0.0032902788156535267,0.16682358103214426,0.0,False,False,False,1818.1156153025754,-2695.4665590548857,1.0004099876365729,-48.45999720318308,229.90307046220855,22.233148282312186,-12.24962649510553,0.25412296559365427,-21.35956330554501,1.7949460044982866,0.0,0.0,False,0.002792672647667093,0.06528332665188101,7.4282605658624545,True,False,False,1718.6366016407237,-2750.3930651513256,0.9979245793523995,-58.03605135712498,229.32917151260628,-85.87994551549681,59.08943419763535,1.0412653690696771,145.7137589212349,7.37120284469956,0.0,0.0,False,-0.011801343280487214,0.24355616871474492,0.0,False,False,False
1.462,192.0367921052264,6.364985456199196,181.8112867876533,2.2230645161725957,171.8635150905053,-8.588049972371754,10,36.0,0.001,2643.174136248627,-1920.3784187937513,1.0052827725765667,-35.96958568370674,231.02189058509657,75.0067285342023,-24.879124939038128,0.7900109327666757,-18.20260094209389,5.587924562454197,0.0,0.0,False,-0.0024093740737127275,0.14766419890479404,0.0,False,False,False,2562.075284240518,-2001.7125404624526,1.0004073284087098,-30.332494695119895,229.9030540984697,24.92972487617407,-4.779860886695262,0.25381204083992515,-3.411512947209414,1.7949070344977363,0.0,0.0,False,-0.0002614629863200373,-0.001192331033503477,7.443471966572102,True,False,False,2484.4385325022554,-2084.691396523557,0.9979034662026972,-39.70260803028137,229.32916343676507,-99.93645341037578,29.658985825733097,1.0429603404563652,163.53770676564812,7.371210945446903,0.0,0.0,False,0.005136914399637042,0.06746068929850227,0.0,False,False,False
1.463,264.31583878134404,7.500687260799569,256.2071727702067,2.4929611254874633,248.44366178306296,-9.993648386286935,10,54.0,0.001,3107.2350809145373,-1009.6034849890625,1.0052525915815487,-17.85473085058679,231.02174188772833,79.02395899204441,-0.4830192946860561,0.7903953577292661,-0.22349028880949134,5.587942108869488,0.0,0.0,False,0.0014100611737170325,0.1267151769813179,0.0,False,False,False,3055.2410325991514,-1112.0171318498558,1.0004118640173623,-12.442685019656079,229.9030216069931,25.18643244697084,3.157724820386285,0.2551204833297711,14.485173224398345,1.794892204906898,0.0,0.0,False,0.012843934120627018,-0.11962679662866321,7.458683367281753,True,False,False,3007.0462289176157,-1214.925705380821,0.9979155838874975,-22.14217348313162,229.32914656060115,-104.21039143901443,-2.6747055257002708,1.0425598523922013,-178.92497332919072,7.371214192221599,0.0,0.0,False,0.0011274421251877245,-0.3952268953039306,0.0,False,False,False
1.464,310.7217512187483,7.902117566720541,305.5237015245033,2.5188719769631995,300.7044037735492,-10.420989543683728,10,72.0,0.001,3267.1378997393713,-0.0024719909736177215,1.0052859387635578,0.13217074660900177,231.0215363977945,75.30525456152102,23.960283894930495,0.7898100768196936,17.84402161574251,5.587922945469607,0.0,0.0,False,-0.00441564678199709,0.19422828255398886,0.0,False,False,False,3249.338423444692,-113.46995334234751,1.000371787722719,5.274184066921803,229.90297540903595,22.978142257765313,10.786279365565361,0.2533674865920643,32.6708931293486,1.7949078585962581,0.0,0.0,False,-0.004708170916234924,0.05094435526123418,7.473894767991401,True,False,False,3235.3032420452987,-226.2347378372682,0.9979022756709318,-3.9265672629236046,229.3291218379506,-98.28339681928554,-34.74656326049564,1.0418225426508714,-160.38889647729064,7.371210805815003,0.0,0.0,False,-0.006240866185974976,0.14084928099895969,0.0,False,False,False
1.465,326.71202305150376,7.529981624809553,324.9334338587603,2.298260693988361,323.5300988842977,-9.828242318797889,10,90.0,0.001,3107.2304975204215,1009.5977901748304,1.0052595506519402,17.874991678889696,231.02130921894312,64.21467922562128,46.057947465226334,0.7902251458259931,35.96882239964941,5.587870592971435,0.0,0.0,False,-0.0001909191060615184,0.3188582693235784,0.0,False,False,False,3125.367922039575,896.1842263196113,1.0004206026555331,23.55936713745031,229.9029231612557,18.520975051637368,17.35919488068793,0.25354553368349697,50.701518824181015,1.7949486953240137,0.0,0.0,False,-0.0029854518561435923,0.0669705447855484,7.489106168701052,True,False,False,3146.8662233937616,784.6015367443589,0.9979222235773033,14.387285598473891,229.32909321974532,-82.73565427725794,-63.41714234591381,1.0424369931708686,-142.6009125347249,7.371201541135557,0.0,0.0,False,-8.325875067923944e-05,-0.07119223573632134,0.0,False,False,False
1.466,310.7214457350327,6.420711822593271,312.536416950096,1.8527180334764914,314.686412872979,-8.273429856069711,10,108.0,0.001,2643.1660317183696,1920.3706421623356,1.0052740668860123,35.757007011977116,231.02110373847685,46.83795285699676,63.64676530010273,0.7904241594000114,53.54236982448131,5.5878012495974705,0.0,0.0,False,0.0018972829740419674,-0.10810429189808045,0.0,False,False,False,2695.464695803972,1818.113430100419,1.0004024075645415,41.44096571609671,229.90287483018903,12.251149761835196,22.233177519353006,0.2537918968422317,68.57644674286638,1.7949997953955013,0.0,0.0,False,-0.0005940866829320886,-0.07178417467807079,7.5043175694107,True,False,False,2750.3920436965604,1718.635424325275,0.9979035215077834,32.323932895691165,229.3290661448638,-59.08910261883149,-85.8799428194551,1.0419312286323885,-124.72697528124733,7.371189397570679,0.0,0.0,False,-0.005123730541333586,-0.19732733340773945,0.0,False,False,False
1.467,264.31531906138787,4.682900926383527,269.54616427800653,1.2258488439577104,275.03903126081684,-5.908749770341444,10,126.0,0.001,1920.3706423129165,2643.163432524783,1.0052861186492292,54.09551878556251,231.0209550548772,24.876163889348376,75.00492502238404,0.7903064530376512,71.52122408058491,5.587737604551225,0.0,0.0,False,0.0008102270380201139,-0.13013685325135357,0.0,False,False,False,2001.7107326297764,2562.072834323067,1.0004231905979712,59.20484954622727,229.90283888527202,4.78229115500962,24.931206875766193,0.25401541737167366,86.45054667804875,1.7950423184058013,0.0,0.0,False,0.001580981993608636,-0.21043255356430035,7.5195289701203505,True,False,False,2084.690394254688,2484.4371955566226,0.9979155760180466,49.87332317282399,229.3290454626607,-29.65845504435813,-99.93613189814961,1.0426047887530039,-106.26618884934953,7.371178472395905,0.0,0.0,False,0.0016273211951561499,0.26333567462820834,0.0,False,False,False
1.468,192.03622570728314,2.4866713143485737,200.17086777607568,0.47900449901119074,208.4689196187905,-2.965675813359834,10,144.0,0.001,1009.5967976318433,3107.2243865920145,1.0052821482490573,71.85099571455062,231.02087657201665,0.4792418731261163,79.02056041669861,0.791288754166913,89.86099155140961,5.587700171511565,0.0,0.0,False,0.010686176643005918,0.20847326886921538,0.0,False,False,False,1112.0155563629373,3055.238557817486,1.0003924667141455,77.45259368652749,229.9028190645761,-3.1546253293802637,25.189222330786635,0.25340533416069533,104.44976359141573,1.7950606989717193,0.0,0.0,False,-0.004545844161780315,-0.22336895807180907,7.534740370829999,True,False,False,1214.9248204061369,3007.04486321243,0.9978662166020763,68.25000951227871,229.3290335806954,2.6753834562539303,-104.20978274748465,1.042536326217927,-88.23404529482141,7.371172395527034,0.0,0.0,False,0.0009512898347603715,0.2953200662088071,0.0,False,False,False
1.469,100.95936888347208,0.04702090709801751,111.20147005198302,-0.3147215311022887,121.4924272628985,0.2677006240040293,10,162.0,0.001,-0.0024717033386991716,3267.128261628328,1.0052761126379344,90.13435677055922,231.02085488042687,-23.9645079399636,75.30059357607226,0.7896714630685358,107.61964595050983,5.587699452240338,0.0,0.0,False,-0.005485717137643559,-0.03409056284912563,0.0,False,False,False,113.46876434384923,3249.3361660238156,1.0003951258563304,95.40886708565175,229.90281294834207,-10.782813973661819,22.98196709790301,0.2535430675926643,122.42388038814336,1.7950485910967606,0.0,0.0,False,-0.0031513867211121066,-0.26137700193779484,7.54995177153965,True,False,False,226.23405678240732,3235.301981264875,0.9979066315274521,85.91518117660497,229.32902954515646,34.74732191362458,-98.28256067397493,1.0432521315585943,-70.88896290247497,7.371172943569639,0.0,0.0,False,0.008108568192149047,-0.35976346128220643,0.0,False,False,False
1.47,-2.2434239504466222e-12,-2.3972238600410476,11.346919099356436,-1.0776473191744516,22.623421290744698,3.4748711792157563,10,180.0,0.001,-1009.6005063754102,3107.222858995338,1.0052616518952595,107.81107650961938,231.0208548804268,-46.06220466162919,64.2092120614842,0.7898187724102688,125.71532625621735,5.587731924424462,0.0,0.0,False,-0.004058546323500541,0.06054353977454029,0.0,False,False,False,-896.1849125529185,3125.3661028700367,1.000400885345318,113.53524572640315,229.90281288466792,-17.355702768943367,18.52546057053808,0.25431839378388615,140.96006102062822,1.7950112923801758,0.0,0.0,False,0.004654623541959616,0.26212984008911755,7.565163172249298,True,False,False,-784.6019472157557,3146.8651909501477,0.9978724839760043,103.82937403008115,229.32902940522447,63.41790743057199,-82.7346726320221,1.0426565687429898,-52.6472831964716,7.371179362354598,0.0,0.0,False,0.0021438625033624514,-0.11822487642410325,0.0,False,False,False
1.471,-100.95926963744925,-4.606787643281202,-89.61832454883907,-1.7351052072183524,-78.46011024793556,6.3418928504995655,10,198.0,0.001,-1920.370865098505,2643.1611403808956,1.0052646702399441,126.00490748535142,231.02083318976685,-63.65063892495406,46.83221466622825,0.7897249455725391,143.59656216539418,5.587781387142199,0.0,0.0,False,-0.0050667655470539195,-0.058927535863290484,0.0,False,False,False,-1818.1135465287712,2695.463492827554,1.0003946292070796,131.49633777404085,229.90280891321822,-22.230000530145333,12.255856957024122,0.25461015140407245,158.76193846001794,1.794963722922135,0.0,0.0,False,0.007639473116538397,0.05041667540728513,7.580374572958949,True,False,False,-1718.6355240367639,2750.3913406493148,0.9979171476269207,121.84653641817007,229.32902772217756,85.880639455099,-59.08807162325232,1.042689651706318,-34.58077119625602,7.3711886563061535,0.0,0.0,False,0.002461548504304862,-0.05180712172297748,0.0,False,False,False
1.472,-192.0358481528845,-6.365369658710593,-181.81108025218927,-2.2227495406714697,-171.86340733848604,8.588119199381918,10,216.0,0.001,-2643.1611404907535,1920.3689768221739,1.0052787479123326,144.049222746875,231.02075471417524,-75.00803589360643,24.870716361378825,0.7892571963165959,162.1183357498849,5.5878251497987605,0.0,0.0,False,-0.009806147848921212,0.462515888586639,0.0,False,False,False,-2562.0723696929604,2001.710263434149,1.00038756122696,149.1962064678781,229.90279256983496,-24.928656049863505,4.786759264762371,0.2545883053771628,176.60578495025447,1.7949247292173351,0.0,0.0,False,0.007476158273617537,-0.12026199426562362,7.595585973668595,True,False,False,-2484.4369747513824,2084.6900894187784,0.9979329778575915,140.03390272679925,229.32901964680218,99.93669194346928,-29.65747562614135,1.0423540652113115,-16.73682207170698,7.371196733610847,0.0,0.0,False,-0.0009057394796036875,-0.20790119436728827,0.0,False,False,False
1.473,-264.31453957286277,-7.500818010627352,-256.20688175816764,-2.4928542016962028,-248.4435060190429,9.993672212323501,10,234.0,0.001,-3107.219804060201,1009.5985208634968,1.005248893107854,162.03077131838558,231.02060605142643,-79.02260401052749,0.4746182531006089,0.7902172851272355,179.54092452852603,5.587842699598303,0.0,0.0,False,-0.0002300789070532957,-0.11495499933865903,0.0,False,False,False,-3055.2375577492476,1112.0158666877858,1.0003946725658652,167.85768544631836,229.90276011878342,-25.187547455110128,-3.1508337245461204,0.2535926348148659,-165.39085814932028,1.794909886266107,0.0,0.0,False,-0.0024595562464197135,-0.13202551515796998,7.610797374378247,True,False,False,-3007.044343507998,1214.9249436162431,0.9979110289531206,157.95768436208292,229.32900277161167,104.21015146563697,2.676215471445143,1.0422407781756071,1.2967979358461346,7.3711999693878205,0.0,0.0,False,-0.002043185916328208,-0.17428865082436037,0.0,False,False,False
1.474,-310.72022394341036,-7.901982061754132,-305.52335453971244,-2.518983599681551,-300.7042152452728,10.420965661435714,10,252.0,0.001,-3267.121837265422,0.0024714146212119203,1.005280269961629,179.66018166190676,231.02040060936926,-75.30136983696548,-23.96785504927931,0.789605472376592,-162.41167288976598,5.587823536488387,0.0,0.0,False,-0.006321105683548934,-0.0675512374757065,0.0,False,False,False,-3249.334728532344,113.46982362202155,1.0003809152718433,185.61655431770876,229.90271397831708,-22.981332245393148,-10.780070128416845,0.2546621368756745,-147.38090063654957,1.7949255468496907,0.0,0.0,False,0.008213316951968351,-0.13721686801700445,7.626008775087895,True,False,False,-3235.301213536717,226.23459597298287,0.9978929203501735,176.0547832640425,229.3289780503896,98.28270208235816,34.74792517769562,1.0423435944845454,19.400331323243226,7.37119658968756,0.0,0.0,False,-0.0010102432090015251,-0.07075593807005191,0.0,False,False,False
1.475,-326.71041721686896,-7.529593125603958,-324.9330648762366,-2.298579965702676,-323.52989604648883,9.82817309130655,10,270.0,0.001,-3107.2152217341995,-1009.5928273770243,1.0052746722276094,-161.90848020355645,231.0201734834844,-64.20864498636996,-46.06394760483346,0.7900265650939428,-144.3872185673451,5.587771183542922,0.0,0.0,False,-0.002036140264534215,-0.04326777947552054,0.0,False,False,False,-3125.3643687585336,-896.1832081846372,1.0004269293030432,-156.51953229842155,229.90266179556878,-18.52592802735932,-17.354275421751957,0.25383365110423,-129.46780423569186,1.7949664129015364,0.0,0.0,False,-0.00012933408723750733,-0.23871997656050048,7.641220175797545,True,False,False,-3146.8642503512847,-784.6010448289336,0.9979295407168173,-166.02952742393563,229.32894943383852,82.73457301372906,63.41822302658477,1.0432995683498951,37.55338001893413,7.371187347915432,0.0,0.0,False,0.008562565283981673,0.08226736004521294,0.0,False,False,False
1.476,-310.71991853141344,-6.42010835468725,-312.5360620894215,-1.853213728256334,-314.686215580872,8.273322082943492,10,288.0,0.001,-2643.1530378491984,-1920.361202003892,1.0052644327837565,-143.82618164024015,231.0199680509596,-46.83035974590964,-63.65060706889187,0.7908794416648706,-126.35853606966784,5.587701841620481,0.0,0.0,False,0.006590689731902199,-0.015095380621492236,0.0,False,False,False,-2695.461631895776,-1818.111364045834,1.0004280321054522,-138.54553921496392,229.90261352467098,-12.2573811116195,-22.230029582397176,0.25488796239089523,-110.89245233850001,1.7950175583399457,0.0,0.0,False,0.010341448206762902,0.32294978200594576,7.6564315765071935,True,False,False,-2750.3903192535936,-1718.6343467893028,0.9978866590057959,-148.12976633949373,229.32892236052325,59.087740857529226,85.8806366512884,1.042596183877905,55.64910275241977,7.371175235767071,0.0,0.0,False,0.0015458497285595367,0.1779179272495031,0.0,False,False,False
1.477,-264.31401997493185,-4.682141558430807,-269.54585826757085,-1.2264724614651072,-275.03885882656266,5.908614019896025,10,306.0,0.001,-1920.361202155481,-2643.150439261702,1.0052752455981349,-125.86197103224364,231.01981940207398,-24.86775515050919,-75.00623233227077,0.7902774833616185,-108.43074463324821,5.587638201829221,0.0,0.0,False,0.0006611069552871645,-0.08819090152951337,0.0,False,False,False,-2001.7084578520262,-2562.069922824622,1.0003785414858457,-120.5403459643763,229.90257762451142,-4.789191058305702,-24.93013885345585,0.25357448287661344,-93.08979607272522,1.7950601302540599,0.0,0.0,False,-0.002853552714371486,0.11285893938282109,7.671642977216845,True,False,False,-2084.68908720788,-2484.4356378830007,0.997928900944499,-129.95387857231498,229.32890167951726,29.656946208815384,99.9363711857261,1.0416842776154027,73.30138241437186,7.371164339574786,0.0,0.0,False,-0.007557803353555187,-0.16992551130638522,0.0,False,False,False
1.478,-192.03528188791228,-2.4858303763557013,-200.17064055437532,-0.4796950099290659,-208.4687889210537,2.9655253862845017,10,324.0,0.001,-1009.5918350672773,-3107.2091122317447,1.0052657247626389,-107.69119235185876,231.01974093754953,-0.4708406000877843,-79.01920526457629,0.7903487346091326,-90.51078005104645,5.587600778292923,0.0,0.0,False,0.001426544303012991,-0.1693838062328167,0.0,False,False,False,-1112.014293162496,-3055.2350860481515,1.0004250965815171,-102.50744509652041,229.9025578284998,3.1477322205399343,-25.190339052503166,0.254696097979927,-75.31108562660827,1.7950785494126595,0.0,0.0,False,0.008336549694864687,-0.12058208773182877,7.686854377926492,True,False,False,-1214.9240586927604,-3007.0429778817797,0.9978961878139416,-111.81266557583858,229.32888979823946,-2.6768916204516158,104.2095443170791,1.0420709571337268,91.3880756856491,7.37115827923974,0.0,0.0,False,-0.0036824375622980534,-0.08339097868689299,0.0,False,False,False
1.479,-100.95887269995372,-0.046180714698816135,-111.20134383864735,0.31403171253042933,-121.49235109475028,-0.26785099783157434,10,342.0,0.001,0.002471125065483193,-3267.1122014033963,1.005272078133279,-90.08494895756876,231.01971925103118,23.972079373153694,-75.29670857703536,0.7898094100620902,-72.43495228043987,5.587600071590562,0.0,0.0,False,-0.00396570173934936,-0.0947743748534935,0.0,False,False,False,-113.46863610416993,-3249.332473921912,1.0003998348590595,-84.23368658486665,229.9025517198845,10.776602432980207,-22.985159540514335,0.2532311316841075,-57.10682220484384,1.795066459913688,0.0,0.0,False,-0.006296016129922435,0.07155866602827873,7.702065778636143,True,False,False,-226.23391495754572,-3235.2999528292253,0.9978927096965821,-94.04344872735734,229.32888576293442,-34.748681806133426,98.28186811754946,1.0415783269001224,109.2796576223284,7.371158826107091,0.0,0.0,False,-0.008609513285566778,-0.19197451272694396,0.0,False,False,False
1.48,-1.278714612042717e-12,2.397981063100417,-11.346906222247377,1.077025719989253,-22.62340710736024,-3.475006783089761,10,0.0,0.001,1009.5955429429848,-3107.207584992466,1.0052640005218934,-72.00943565647047,231.01971925103123,46.06820510008277,-64.20317747111609,0.78936222276589,-54.379371431513526,5.587632557054428,0.0,0.0,False,-0.008483516084929501,-0.040239790924730824,0.0,False,False,False,896.1838935632766,-3125.3625518541617,1.000415692864464,-66.23222239074116,229.9025516562897,17.350780941499846,-18.5304165020248,0.2550046633853993,-39.256572140489645,1.7950291571704724,0.0,0.0,False,0.01149205492836451,-0.09086299565998734,7.717277179345791,True,False,False,784.6014552765446,-3146.8632179674278,0.9978976173340476,-75.96298021225374,229.32888562301068,-63.418986041582386,82.73359397314073,1.0428333493142483,127.69281080332459,7.371165227511498,0.0,0.0,False,0.003931657902762068,0.22103793547494052,0.0,False,False,False
1.481,100.95877347730654,4.607387735723974,89.61822285768791,1.7346126854479023,78.46006105891975,-6.342000421171606,10,18.0,0.001,1920.3614248883318,-2643.148147654085,1.0052777527546026,-54.04903473487453,231.01969756544966,63.65448098340223,-46.82462116195357,0.7908535814590494,-35.77773082656414,5.587682031140814,0.0,0.0,False,0.006360103922711386,0.560693812700426,0.0,False,False,False,1818.1114803292699,-2695.4604304174172,1.0003660417493618,-48.55243387716271,229.90254768978897,22.22685039150067,-12.262091473859837,0.25433949660786365,-21.004692464507002,1.7949815676483416,0.0,0.0,False,0.004907688900632432,0.1474276376477775,7.732488580055442,True,False,False,1718.6344464950118,-2750.3896162470537,0.997908996253524,-57.94299032541461,229.32888394006142,-85.88133137490242,59.08671263581338,1.0424894384043433,145.480335487533,7.371174495571579,0.0,0.0,False,0.0004794417874466716,0.008468639364865796,0.0,False,False,False
1.482,192.0349044224746,6.365753897335471,181.81087397440066,2.222434326986983,171.86329959274627,-8.588188224322733,10,36.0,0.001,2643.148147764687,-1920.359537053349,1.0052544554597214,-36.11011433677106,231.01961910824426,75.00934345581312,-24.862307225769396,0.7897698276203096,-18.51104021577425,5.587725801370662,0.0,0.0,False,-0.004539334917364842,-0.17294572608558093,0.0,False,False,False,2562.069458773639,-2001.7079892405977,1.0004255054631936,-29.883883438324844,229.902531366776,24.927586208025556,-4.793662236386506,0.25319009185206653,-3.3827857374465378,1.794942550327313,0.0,0.0,False,-0.006531179832772451,-0.24518993973546777,7.7476999807650895,True,False,False,2484.435417090577,-2084.688782389617,0.9979189474178007,-39.86599288041621,229.32887586515503,-99.9369296638385,29.65596946215593,1.0422475044715387,163.1770869865615,7.371182549420183,0.0,0.0,False,-0.0019512874025236723,-0.29482293210280297,0.0,False,False,False
1.483,264.3132406700497,7.500948780700796,256.2065911092691,2.4927471763744022,248.44335026410644,-9.993695957075175,10,54.0,0.001,3107.204530773886,-1009.5935578947219,1.005288434134065,-17.92115587566681,231.01947048035032,79.0212490490123,-0.4662166183527163,0.7907210243958385,-0.28201248034166654,5.587743354522133,0.0,0.0,False,0.004947808933050205,0.05602235154177805,0.0,False,False,False,3055.2340872264904,-1112.014603100376,1.0003959823918875,-12.326423720730073,229.90249895617893,25.188662917290618,3.143937946281199,0.252876301225892,15.118048556080264,1.794927694046418,0.0,0.0,False,-0.009648076140590312,0.24052414850551107,7.762911381474741,True,False,False,3007.0424582075357,-1214.9241818957073,0.997899317221472,-21.901406333712625,229.32885899094532,-104.20991196630283,-2.677721327928425,1.042751226293349,-178.65121054760885,7.371185774193534,0.0,0.0,False,0.0030813702973694853,-0.12312790451996303,0.0,False,False,False
1.484,310.7186970276425,7.901846559276384,305.5230079879865,2.519095267381824,300.7040267279912,-10.420941826658243,10,72.0,0.001,3267.105778546913,-0.0024708343743498062,1.0052753564427332,0.002200546637498021,231.0192650864938,75.29748494858063,23.975426774084667,0.7904407572886519,18.05250468807403,5.587724191735497,0.0,0.0,False,0.002172238133938599,0.3905406792424154,0.0,False,False,False,3249.3310382225345,-113.46969406193543,1.0004133089740919,6.126737445693253,229.90245287324404,22.984524111397832,10.773856578197213,0.25478936841840605,32.98578645629169,1.7949433614949968,0.0,0.0,False,0.009460438666282874,0.09311307019462242,7.778122782184389,True,False,False,3235.2991851456927,-226.23445411680967,0.9978858918956062,-3.787348927875103,229.32883427116084,-98.28200905997845,-34.74928335228182,1.0427958345118382,-160.46274158743418,7.371182401203641,0.0,0.0,False,0.0035322226103159803,0.06534038196975052,0.0,False,False,False
1.485,326.70881176056815,7.52920461097922,324.9326963543287,2.2988994244291634,323.52969322052365,-9.828104035408542,10,90.0,0.001,3107.199949523234,1009.5878657449841,1.0052703392331452,17.880122062612287,231.01903801393402,64.20261041633299,46.0699482367753,0.7908636231653312,35.41549734196766,5.5876718384361945,0.0,0.0,False,0.006474935646639777,-0.24663759827538204,0.0,False,False,False,3125.3608199049063,896.182191319731,1.0004015782298152,23.913598324809016,229.90240075557395,18.530884121214605,17.349352440927568,0.2536977036046826,50.8999072315925,1.794984256801996,0.0,0.0,False,-0.0015140441687474726,-0.00736566987451479,7.79333418289404,True,False,False,3146.8622774232695,784.6005529421695,0.9978905851780473,14.124301604161651,229.32880565627516,-82.73349453754777,-63.419300677702864,1.0425449445981685,-142.37141595135304,7.371173182351412,0.0,0.0,False,0.0010363608994721123,0.15664068224443964,0.0,False,False,False
1.486,310.7183916878523,6.419504855046983,312.53570767182146,1.8537097337016981,314.68601830029394,-8.27321458874871,10,108.0,0.001,2643.140047024639,1920.3517640604616,1.0052706830676734,35.78454837448826,231.0188326296748,46.82276617012502,63.65444920436303,0.7897708594848483,53.56198111616697,5.58760249809032,0.0,0.0,False,-0.004354639100633385,-0.10066403477176547,0.0,False,False,False,2695.458571806423,1818.1093005674952,1.0003640898859962,41.89089087418532,229.90235254488752,12.263616513505841,22.226879258916483,0.2535185607570739,68.96027156882475,1.7950354475340935,0.0,0.0,False,-0.0033778672724348664,0.039317024338110636,7.808545583603688,True,False,False,2750.3885949107735,1718.6332693160066,0.9979093350864482,31.9216298738515,229.32877858453665,-59.086382683631115,-85.88132846327957,1.0427776709419816,-124.44221209585582,7.371161101635962,0.0,0.0,False,0.003380709049234566,0.08577255644371884,0.0,False,False,False
1.487,264.31272119496464,4.681382145602475,269.54555263929075,1.2270964828250315,275.0386864023916,-5.90847862842708,10,126.0,0.001,1920.3517642130794,2643.1374490473327,1.0052544332833926,54.11892973981453,231.0186840157385,24.859345858978003,75.00753984812924,0.7897100996227115,72.16563609206703,5.587538863670204,0.0,0.0,False,-0.004872245062039126,0.5021038455091712,0.0,False,False,False,2001.7061859106352,2562.067014956592,1.0004088984055532,59.90220879186169,229.902316689518,4.796095550664102,24.929069812881508,0.2530794107935685,87.24267464527131,1.7950780683115433,0.0,0.0,False,-0.007829641788996712,0.3089741923881051,7.823756984313339,True,False,False,2084.687780237088,2484.4340802999795,0.9978964564007735,49.85645121581013,229.32875790473648,-29.655441409641718,-99.93660966101069,1.042471299592323,-106.68381927929724,7.371150234440318,0.0,0.0,False,0.00033236408811471103,-0.1559574039595846,0.0,False,False,False
1.488,192.03433829138262,2.484989384781319,200.17041361650672,0.48038597831843616,208.4686582309789,-2.9653753630994806,10,144.0,0.001,1009.58687367008,3107.19384145638,1.0052438756578417,72.24918697167979,231.01860556967463,0.46243874061309054,79.01785013848075,0.7899261925401555,89.96861508981138,5.587501449707295,0.0,0.0,False,-0.002658404553832451,0.3039252202245504,0.0,False,False,False,1112.0130315381307,3055.2316186081584,1.0004103356460228,78.09279010655675,229.9022969182088,-3.140834435009306,25.191456223102357,0.25321273378436115,105.16311366631955,1.7950965260796183,0.0,0.0,False,-0.006522515107013393,0.21726357838506047,7.838968385022986,True,False,False,1214.9232970237936,3007.041092660822,0.997908572054588,68.03064544929846,229.32874602415149,2.678395694396895,-104.20930636158283,1.0431384717875452,-88.5721878478402,7.3711441906457065,0.0,0.0,False,0.007012633256641889,-0.044484286627149205,0.0,False,False,False
1.489,100.95837663364273,0.04534046527076326,111.20121778297528,-0.3133414276614744,121.49227493104499,0.2680009623906555,10,162.00000000000364,0.001,-0.0024705428818379005,3267.0961449491288,1.0052506455989154,89.99895800480083,231.01858388826165,-23.97965136926601,75.29282342246015,0.7902150111448396,107.5052466613647,5.587500755578162,0.0,0.0,False,0.00023076313984275764,-0.16066165365798668,0.0,False,False,False,113.46850802578497,3249.328786424555,1.000399489198385,96.01074817058084,229.90229081721728,-10.770386585640416,22.988353854426887,0.25276358317152964,123.1033610200033,1.7950844550333651,0.0,0.0,False,-0.01099695019800536,0.14539043065941654,7.854179785732637,True,False,False,226.23377314106443,3235.297924511636,0.9978973304729379,86.40523876340085,229.32874198908152,34.75003795490716,-98.28117727688652,1.04164850839908,-70.45847531546136,7.371144736334474,0.0,0.0,False,-0.007887772348465124,0.06906322440014544,0.0,False,False,False
