Time (s),TX Value,Duty Cycle,Reconstructed Value,Poll Samples
0.115000,-1.000000,0.000000,-1.000000,10965
0.116000,-0.951057,0.020880,-0.958240,11638
0.117000,-0.809017,0.081031,-0.837938,11292
0.118000,-0.587785,0.180084,-0.639833,11478
0.119000,-0.309017,0.319279,-0.361442,11266
0.120000,0.000000,0.445338,-0.109324,10199
0.121000,0.309017,0.617919,0.235839,10257
0.122000,0.587785,0.765750,0.531500,10143
0.123000,0.809017,0.884527,0.769054,9985
0.124000,0.951057,0.964976,0.929953,10136
0.125000,1.000000,0.997356,0.994712,10212
0.126000,0.951057,0.976685,0.953371,8707
0.127000,0.809017,0.906387,0.812773,9379
0.128000,0.587785,0.775240,0.550479,9806
0.129000,0.309017,0.644207,0.288414,6827
0.130000,-0.000000,0.473457,-0.053086,10417
0.131000,-0.309017,0.334947,-0.330106,7849
0.132000,-0.587785,0.186090,-0.627820,11704
0.133000,-0.809017,0.082180,-0.835640,11779
0.134000,-0.951057,0.023996,-0.952008,11752
0.135000,-1.000000,0.000000,-1.000000,11979
0.136000,-0.951057,0.020877,-0.958246,11927
0.137000,-0.809017,0.080951,-0.838098,11649
0.138000,-0.587785,0.179485,-0.641030,11221
0.139000,-0.309017,0.310763,-0.378475,11475
0.140000,0.000000,0.467730,-0.064540,8026
0.141000,0.309017,0.606779,0.213559,9529
0.142000,0.587785,0.772289,0.544578,10263
0.143000,0.809017,0.880638,0.761277,5764
0.144000,0.951057,0.968618,0.937235,10388
0.145000,1.000000,0.998646,0.997292,9601
0.146000,0.951057,0.975947,0.951894,5862
0.147000,0.809017,0.897543,0.795085,10092
0.148000,0.587785,0.777214,0.554428,10445
0.149000,0.309017,0.632192,0.264383,10568
0.150000,-0.000000,0.473583,-0.052833,8877
0.151000,-0.309017,0.316775,-0.366450,9401
0.152000,-0.587785,0.191316,-0.617368,9696
0.153000,-0.809017,0.088522,-0.822957,15612
0.154000,-0.951057,0.022429,-0.955143,11191
0.155000,-1.000000,0.000000,-1.000000,11368
0.156000,-0.951057,0.020253,-0.959493,14763
0.157000,-0.809017,0.079574,-0.840851,11750
0.158000,-0.587785,0.184618,-0.630764,18866
0.159000,-0.309017,0.317322,-0.365355,10472
0.160000,0.000000,0.448721,-0.102559,10004
0.161000,0.309017,0.625588,0.251177,9348
0.162000,0.587785,0.764456,0.528913,11085
0.163000,0.809017,0.869759,0.739518,7632
0.164000,0.951057,0.965680,0.931361,9936
0.165000,1.000000,0.997409,0.994818,10421
0.166000,0.951057,0.974213,0.948426,10199
0.167000,0.809017,0.900717,0.801434,10042
0.168000,0.587785,0.785531,0.571061,10505
0.169000,0.309017,0.632387,0.264775,11066
0.170000,-0.000000,0.476297,-0.047407,11222
